Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R,Shrubland,3,3,3,3,1,1,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R,Grassland,0,10,35,8,6,4,39,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R,Cropland,72,0,29,7,5,4,38,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R,Wetland,165,20,0,46,2,56,116,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R,Bareland,77,4,22,0,6,15,37,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R,Built-up,15,2,0,8,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R,Water,154,5,115,64,3,0,138,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R,Forest,105,6,63,29,8,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKP_M_R,Permanent_ice_and_snow,35,0,14,4,1,7,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,Grassland,0,0,15,0,0,4,0,90,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,Cropland,0,0,10,0,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,Bareland,0,0,29,0,0,6,0,41,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,Forest,0,0,44,0,0,17,0,136,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,Wetland,0,0,0,0,0,13,0,255,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,Built-up,0,0,1,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,Water,0,0,66,0,0,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,Shrubland,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,Grassland,0,0,0,0,0,77,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,Cropland,0,0,0,0,0,52,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,Wetland,0,0,0,0,0,225,0,0,48,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,Bareland,0,0,0,0,0,90,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,Water,0,0,0,0,0,0,0,0,109,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,Forest,0,0,0,0,0,124,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKP_M_R,Permanent_ice_and_snow,0,0,0,0,0,13,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKP_M_R,Water,69,45,66,47,15,0,68,0,0,84,0
