Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Shrubland,Wetland,Cropland,Built-up,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R,Bareland,23,29,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R,Shrubland,19,7,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R,Forest,123,0,7,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R,Grassland,0,14,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R,Cropland,10,5,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R,Wetland,6,1,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R,Water,8,25,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLH_M_R,Shrubland,1,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLH_M_R,Grassland,0,18,8,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLH_M_R,Forest,28,0,72,0,34,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLH_M_R,Water,0,2,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLH_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLH_M_R,Wetland,0,4,0,0,0,0,0,0,0,0,0
