Dataset,MajorityClass,Non_Wetland,Wetland,Water,Bareland,Forest,Shrubland,Grassland,Cropland,Built-up,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,Grassland,189,16,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,Wetland,693,0,113,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,Water,321,344,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,Shrubland,38,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,Forest,682,174,57,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,Cropland,13,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,Bareland,132,30,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,Built-up,85,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,Permanent_ice_and_snow,44,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,Grassland,0,82,64,4,6,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,Wetland,0,0,758,3,17,2,406,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,Shrubland,0,21,12,1,3,0,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,Forest,0,364,252,14,0,48,236,28,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,Water,0,401,0,0,8,1,247,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,Cropland,0,4,11,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,Bareland,0,45,131,0,0,0,45,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,Built-up,0,32,58,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,Permanent_ice_and_snow,0,11,37,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R,Wetland,0,0,113,248,497,0,765,0,9,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R,Water,0,322,0,210,435,0,554,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R,Shrubland,0,2,0,12,17,0,22,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R,Grassland,0,2,1,4,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R,Bareland,0,4,10,0,16,0,60,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R,Cropland,0,0,0,7,1,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R,Built-up,0,0,0,27,28,0,42,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R,Forest,0,14,10,34,0,0,269,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R,Permanent_ice_and_snow,0,1,0,22,12,0,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,Wetland,0,0,655,14,65,9,133,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,Water,0,661,0,0,50,0,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,Shrubland,0,15,12,5,6,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,Grassland,0,118,35,24,21,14,0,0,0,0,0
