Dataset,MajorityClass,Grassland,Wetland,Shrubland,Bareland,Water,Cropland,Forest,Built-up,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,Forest,207,120,23,55,102,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,Shrubland,8,5,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,Grassland,0,21,1,5,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,Water,114,72,2,16,0,0,31,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,Bareland,15,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,Built-up,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,Wetland,13,0,1,0,8,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNH_M_R,Cropland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R,Shrubland,10,0,0,1,0,0,10,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R,Grassland,0,2,0,2,0,0,15,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R,Wetland,19,0,0,2,18,0,33,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R,Bareland,18,0,0,0,3,0,25,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R,Forest,124,11,0,26,67,0,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R,Water,57,4,0,39,0,0,216,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R,Built-up,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNH_M_R,Cropland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,Shrubland,4,1,0,1,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,Grassland,0,8,4,12,0,0,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,Forest,53,177,26,138,109,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,Wetland,12,0,0,2,4,0,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,Water,2,155,0,96,0,0,83,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNH_M_R,Bareland,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNH_M_R,Grassland,0,0,23,0,0,0,17,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNH_M_R,Forest,65,93,120,0,64,31,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNH_M_R,Wetland,1,0,5,0,1,0,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNH_M_R,Bareland,7,1,18,0,2,13,42,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNH_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNH_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNH_M_R,Water,13,112,44,0,0,10,129,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNH_M_R,Grassland,0,0,0,0,0,0,0,0,26,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNH_M_R,Shrubland,0,0,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNH_M_R,Wetland,0,0,0,0,1,0,0,0,15,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNH_M_R,Forest,0,93,0,0,64,0,0,0,227,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNH_M_R,Built-up,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNH_M_R,Bareland,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNH_M_R,Water,0,112,0,0,0,0,0,0,82,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNH_M_R,Grassland,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNH_M_R,Bareland,0,0,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNH_M_R,Wetland,0,0,0,0,15,0,0,0,0,15
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNH_M_R,Forest,0,0,0,0,106,0,0,0,0,64
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNH_M_R,Water,0,0,0,0,0,0,0,0,0,88
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNH_M_R,Forest,0,2,0,2,171,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNH_M_R,Bareland,0,0,0,0,19,0,15,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNH_M_R,Wetland,0,0,0,0,31,0,20,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNH_M_R,Water,0,3,0,7,0,0,80,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNH_M_R,Grassland,0,0,0,0,5,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNH_M_R,Forest,15,2,0,13,38,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNH_M_R,Wetland,2,0,0,2,12,0,50,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNH_M_R,Grassland,0,0,0,0,1,5,20,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNH_M_R,Water,0,2,0,30,0,1,209,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNH_M_R,Bareland,0,0,0,0,2,0,14,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNH_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0
