Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R,Shrubland,3,1,3,3,1,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R,Grassland,0,0,15,14,2,13,26,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R,Cropland,24,0,1,7,0,4,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R,Wetland,110,0,0,56,1,67,83,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R,Bareland,69,0,22,0,0,30,38,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R,Built-up,11,0,0,6,0,1,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R,Water,146,0,82,102,0,0,133,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R,Forest,91,0,33,41,4,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNN_M_R,Permanent_ice_and_snow,6,0,0,1,0,3,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNN_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNN_M_R,Grassland,0,0,8,0,0,4,0,71,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNN_M_R,Forest,0,0,29,0,0,13,0,109,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNN_M_R,Wetland,0,0,0,0,0,9,0,190,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNN_M_R,Water,0,0,50,0,0,0,0,122,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNN_M_R,Bareland,0,0,19,0,0,9,0,51,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNN_M_R,Cropland,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNN_M_R,Shrubland,0,0,0,0,0,4,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNN_M_R,Grassland,0,0,0,0,0,41,0,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNN_M_R,Cropland,0,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNN_M_R,Wetland,0,0,0,0,0,132,0,0,42,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNN_M_R,Bareland,0,0,0,0,0,69,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNN_M_R,Built-up,0,0,0,0,0,5,0,0,0,0,0
