Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R,Shrubland,3,1,3,3,1,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R,Grassland,0,1,6,7,0,3,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R,Cropland,29,0,3,10,0,2,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R,Wetland,98,0,0,51,0,45,56,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R,Bareland,80,1,4,0,2,52,41,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R,Built-up,22,0,2,23,0,14,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R,Water,158,0,41,129,0,0,118,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R,Forest,87,2,22,64,4,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R,Permanent_ice_and_snow,28,0,1,25,0,9,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQM_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQM_M_R,Grassland,0,0,1,0,0,1,0,29,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQM_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQM_M_R,Forest,0,0,30,0,0,14,0,69,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQM_M_R,Wetland,0,0,0,0,0,0,0,138,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQM_M_R,Water,0,0,59,0,0,0,0,77,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQM_M_R,Bareland,0,0,24,0,0,9,0,28,0,0,0
