datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",479
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",438
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",406
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",335
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",180
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",116
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",101
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",91
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",82
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",81
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",76
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",70
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",49
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",41
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",37
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",31
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R",26
