Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R,Shrubland,3,2,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R,Grassland,0,2,16,0,5,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R,Cropland,47,2,36,1,11,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R,Wetland,140,0,107,4,77,92,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R,Bareland,82,1,0,3,52,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R,Built-up,24,2,22,0,7,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R,Water,201,45,182,11,0,160,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R,Forest,111,20,87,12,64,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRM_M_R,Permanent_ice_and_snow,26,1,20,2,7,14,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,Grassland,0,5,0,0,4,0,39,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,Forest,0,31,0,0,21,0,114,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,Wetland,0,0,0,0,9,0,240,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,Water,0,60,0,0,0,0,144,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,Bareland,0,22,0,0,10,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,Cropland,0,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,Shrubland,0,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,Grassland,0,0,0,0,34,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,Cropland,0,0,0,0,21,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,Wetland,0,0,0,0,134,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,Bareland,0,0,0,0,98,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,Built-up,0,0,0,0,15,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,Water,0,0,0,0,0,0,0,185,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,Forest,0,0,0,0,122,0,0,50,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRM_M_R,Permanent_ice_and_snow,0,0,0,0,9,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,Water,78,60,29,29,0,120,0,0,152,113,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,Cropland,5,0,3,3,0,22,0,0,41,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,Wetland,28,0,13,6,9,46,0,0,72,51,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,Bareland,36,22,0,11,10,54,0,0,73,62,0
