Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Shrubland,3,1,2,1,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Grassland,0,6,13,4,1,6,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Cropland,84,0,19,44,19,39,57,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Wetland,69,15,0,12,0,29,57,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Bareland,80,5,9,0,5,19,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Built-up,20,3,1,7,0,2,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Water,125,28,30,78,4,0,104,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Forest,74,11,25,31,20,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTT_M_R,Permanent_ice_and_snow,15,0,1,8,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,Cropland,0,0,9,0,0,9,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,Forest,0,0,20,0,0,19,0,52,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,Wetland,0,0,0,0,0,1,0,102,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,Water,0,0,45,0,0,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,Grassland,0,0,6,0,0,5,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,Bareland,0,0,17,0,0,14,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,Cropland,0,0,0,0,0,72,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,Wetland,0,0,0,0,0,50,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,Bareland,0,0,0,0,0,55,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,Built-up,0,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,Water,0,0,0,0,0,0,0,0,109,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,Forest,0,0,0,0,0,62,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,Grassland,0,0,0,0,0,20,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTT_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTT_M_R,Water,0,84,45,43,41,0,70,0,0,43,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTT_M_R,Cropland,9,0,9,21,35,9,47,0,0,42,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTT_M_R,Wetland,0,34,0,3,8,1,25,0,0,22,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTT_M_R,Bareland,3,64,17,0,49,14,43,0,0,36,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTT_M_R,Built-up,0,12,0,3,0,0,6,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTT_M_R,Forest,13,62,20,21,31,19,0,0,0,46,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTT_M_R,Grassland,0,22,6,9,7,5,22,0,0,19,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTT_M_R,Permanent_ice_and_snow,0,17,0,0,9,0,5,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTT_M_R,Water,0,160,14,3,31,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTT_M_R,Grassland,0,43,0,0,1,6,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTT_M_R,Wetland,0,58,0,0,11,24,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTT_M_R,Bareland,0,64,19,0,30,32,19,0,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTT_M_R,Built-up,0,4,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTT_M_R,Forest,0,71,18,3,21,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTT_M_R,Cropland,0,0,3,0,16,9,16,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTT_M_R,Permanent_ice_and_snow,0,1,6,2,4,4,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTT_M_R,Cropland,20,0,12,24,0,14,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTT_M_R,Water,21,22,25,50,0,0,40,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTT_M_R,Wetland,13,6,0,29,0,26,17,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTT_M_R,Forest,16,14,11,19,0,17,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTT_M_R,Bareland,1,0,0,0,0,2,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTT_M_R,Built-up,1,6,0,10,0,2,6,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTT_M_R,Grassland,0,1,0,1,0,0,3,0,0,0,0,0
