Dataset,MajorityClass,Shrubland,Grassland,Wetland,Water,Forest,Bareland,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Non_Wetland,4,4,5,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Grassland,108,0,132,82,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Wetland,269,365,0,237,53,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Water,113,284,281,0,36,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Shrubland,0,22,7,8,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Cropland,26,85,37,44,3,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Bareland,0,17,6,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Built-up,2,60,15,14,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Forest,362,421,259,98,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,Permanent_ice_and_snow,0,1,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Non_Wetland,0,2,12,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Shrubland,0,21,86,3,10,5,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Grassland,0,0,390,12,97,19,5,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Wetland,0,127,0,126,203,24,1,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Water,0,238,499,0,277,99,5,25,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Cropland,0,96,168,20,45,33,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Bareland,0,54,30,11,16,0,5,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Built-up,0,36,20,5,19,16,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Forest,0,185,521,60,0,32,19,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R,Permanent_ice_and_snow,0,2,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,Shrubland,0,0,0,0,0,0,0,0,96,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,Wetland,0,0,0,48,0,0,0,0,551,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,Grassland,0,0,58,28,0,0,0,0,519,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,Water,0,0,306,0,0,0,0,0,262,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,Cropland,0,0,2,11,0,0,0,0,196,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,Bareland,0,0,9,5,0,0,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,Built-up,0,0,0,0,0,0,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,Forest,0,0,179,68,0,0,0,0,741,0,0,0
