Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Shrubland,131,107,95,11,20,21,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Non_Wetland,5,11,13,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Grassland,0,289,377,81,49,29,36,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Forest,464,0,550,99,53,61,216,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Wetland,145,344,0,11,10,2,154,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Bareland,36,9,5,7,0,4,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Water,239,458,707,10,47,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Cropland,274,214,103,0,48,49,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R,Built-up,20,54,15,6,12,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Non_Wetland,10,2,10,0,0,0,6,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Shrubland,73,16,35,0,13,0,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Grassland,0,61,155,0,19,0,111,131,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Wetland,666,49,0,0,1,0,463,73,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Bareland,77,1,2,0,0,0,12,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Water,736,104,253,0,11,0,0,127,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Forest,998,0,458,0,89,0,384,568,0,0,0
