Dataset,MajorityClass,Forest,Grassland,Wetland,Bareland,Water,Cropland,Built-up,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R,Shrubland,74,78,67,10,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R,Grassland,228,0,335,65,18,12,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R,Non_Wetland,6,4,14,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R,Cropland,184,189,106,35,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R,Wetland,204,283,0,8,98,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R,Water,258,146,498,34,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R,Forest,0,263,417,31,125,6,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R,Bareland,9,8,12,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R,Built-up,15,1,3,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,Shrubland,0,0,0,0,0,0,0,103,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,Wetland,0,0,0,0,60,0,0,705,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,Grassland,0,0,109,0,54,0,0,647,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,Forest,0,0,194,0,122,0,0,907,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,Water,0,0,237,0,0,0,0,306,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,Cropland,0,0,9,0,4,0,0,185,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,Bareland,0,0,6,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,Built-up,0,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,Shrubland,14,63,23,5,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,Non_Wetland,3,8,7,0,3,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,Grassland,69,0,167,4,70,0,0,0,85,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,Cropland,42,322,48,5,15,0,0,0,89,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,Wetland,77,615,0,0,306,0,0,0,51,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,Water,94,505,179,3,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,Forest,0,787,290,30,204,0,0,0,297,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,Bareland,0,60,2,0,6,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,Built-up,0,22,1,4,1,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,Grassland,47,0,240,23,150,25,0,0,106,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,Non_Wetland,4,8,4,0,3,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,Wetland,40,457,0,0,385,0,0,0,96,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,Forest,0,632,392,16,256,47,0,0,400,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,Shrubland,7,45,21,2,14,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,Water,66,265,279,7,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,Cropland,19,194,68,17,91,0,0,0,60,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,Bareland,0,16,6,0,28,2,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,Built-up,0,18,1,8,3,0,0,0,3,0,0,0
