Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Grassland,208,364,56,34,74,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Non_Wetland,2,9,1,0,1,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Bareland,33,57,22,0,2,9,105,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Built-up,129,247,0,111,2,38,287,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Water,165,763,28,154,332,0,786,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Forest,240,0,97,68,140,207,844,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Shrubland,10,24,0,0,2,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Cropland,0,747,226,253,144,253,1037,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Wetland,26,314,10,17,0,230,437,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYR_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Non_Wetland,0,0,0,0,10,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Grassland,0,123,57,46,398,100,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Cropland,0,270,313,308,656,343,622,20,0,0,0,0
