Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Water,Built-up,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Shrubland,166,39,117,36,20,5,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Grassland,0,135,314,57,56,26,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Bareland,178,49,90,2,0,12,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Forest,678,154,0,130,64,137,62,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Non_Wetland,8,1,8,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Cropland,522,0,417,22,95,22,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Wetland,166,4,155,0,4,67,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Water,342,18,500,191,52,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Built-up,118,24,155,2,16,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUD_M_R,Lichens_and_Mosses,3,4,1,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,Shrubland,0,0,0,0,0,0,0,99,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,Wetland,0,0,0,0,0,12,0,256,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,Grassland,0,0,0,38,0,86,0,353,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,Forest,0,0,0,210,0,203,0,973,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,Bareland,0,0,0,2,0,9,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,Water,0,0,0,218,0,0,0,358,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,Cropland,0,0,0,7,0,42,0,234,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUD_M_R,Built-up,0,0,0,2,0,14,0,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Shrubland,67,0,33,28,41,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Non_Wetland,3,0,1,7,3,4,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Grassland,0,0,117,142,157,45,9,0,151,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Cropland,604,0,228,98,208,22,53,0,322,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Wetland,133,0,20,0,3,104,0,0,37,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Bareland,138,0,20,13,0,24,5,0,50,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Forest,943,0,0,510,351,235,21,0,534,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Water,600,0,71,288,88,0,0,0,57,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Lichens_and_Mosses,4,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Built-up,135,0,16,38,93,15,0,0,42,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Grassland,0,71,76,183,310,45,9,0,185,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Non_Wetland,2,0,0,16,2,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Wetland,43,5,17,0,19,164,0,0,46,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Forest,630,147,0,524,549,245,16,0,593,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Shrubland,65,11,22,40,69,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Bareland,54,6,12,16,0,3,0,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Water,217,6,60,361,206,0,14,0,89,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Cropland,452,0,123,130,509,15,35,0,206,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Built-up,91,5,7,43,167,3,0,0,48,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Lichens_and_Mosses,3,1,0,1,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUD_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUD_M_R,Grassland,0,0,0,0,0,42,0,0,0,38,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUD_M_R,Water,0,0,0,0,0,0,0,0,0,201,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUD_M_R,Wetland,0,0,0,0,0,52,0,0,0,85,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUD_M_R,Shrubland,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUD_M_R,Cropland,0,0,0,0,0,7,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUD_M_R,Bareland,0,0,0,0,0,5,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUD_M_R,Forest,0,0,0,0,0,131,0,0,0,123,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUD_M_R,Built-up,0,0,0,0,0,3,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,Grassland,0,426,269,38,28,86,142,0,461,0,47,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,Forest,127,591,0,210,99,203,165,0,677,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,Wetland,1,27,84,0,17,12,2,0,77,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,Bareland,3,161,41,2,0,9,87,0,171,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,Water,2,160,253,218,35,0,39,0,191,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,Cropland,32,0,172,7,0,42,113,0,401,0,39,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,Shrubland,4,15,12,0,3,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,Built-up,2,93,28,2,0,14,0,0,72,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUD_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,Grassland,0,600,166,8,4,66,107,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,Shrubland,0,107,55,3,0,5,53,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,Forest,0,625,0,83,0,337,256,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,Bareland,0,158,32,0,0,7,66,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,Wetland,0,63,61,0,0,102,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,Built-up,0,22,0,0,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,Water,0,159,74,54,0,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,Cropland,0,0,82,0,3,7,77,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUD_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUD_M_R,Forest,145,159,0,7,64,33,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUD_M_R,Shrubland,50,65,117,0,38,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUD_M_R,Cropland,137,0,199,0,101,16,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUD_M_R,Wetland,38,9,312,0,4,103,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUD_M_R,Bareland,15,36,37,0,0,5,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUD_M_R,Water,25,26,427,27,10,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUD_M_R,Built-up,8,44,32,0,5,11,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUD_M_R,Grassland,0,145,243,9,87,62,0,0,0,0,0,0
