datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",1813
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",925
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",844
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",644
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",604
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",375
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",354
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",285
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",251
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",247
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",231
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",220
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R",205
