Dataset,MajorityClass,Wetland,Shrubland,Grassland,Bareland,Forest,Water,Cropland,Built-up,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,Non_Wetland,13,2,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,Grassland,192,9,0,44,64,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,Cropland,105,1,241,57,126,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,Bareland,30,0,52,0,20,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,Built-up,23,3,24,37,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,Water,537,0,39,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,Forest,613,33,336,73,0,199,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,Wetland,0,0,20,0,15,277,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,Shrubland,21,0,10,6,10,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R,Non_Wetland,0,0,9,1,7,0,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R,Forest,36,0,432,31,0,53,120,67,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R,Grassland,3,0,0,10,130,0,72,18,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R,Cropland,0,0,217,87,139,1,0,65,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R,Wetland,0,0,419,20,304,156,21,3,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R,Bareland,0,0,66,0,32,11,13,11,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R,Built-up,0,0,42,21,31,0,21,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R,Water,157,0,327,34,373,0,13,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R,Shrubland,0,0,32,7,18,1,10,8,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,Non_Wetland,8,0,4,2,0,3,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,Wetland,0,0,248,11,13,285,45,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,Forest,344,0,515,266,0,156,161,31,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,Grassland,58,0,0,92,12,10,61,12,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,Water,362,0,229,27,44,0,47,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,Shrubland,16,0,21,9,0,4,18,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,Bareland,0,0,34,0,0,23,42,9,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,Cropland,13,0,231,216,6,14,0,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,Built-up,1,0,55,54,0,6,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,Grassland,27,0,0,0,0,11,0,0,216,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,Wetland,0,0,0,0,0,76,0,0,434,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,Forest,124,0,0,0,0,74,0,0,772,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,Water,265,0,0,0,0,0,0,0,341,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,Shrubland,0,0,0,0,0,0,0,0,37,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,Cropland,1,0,0,0,0,0,0,0,117,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,Bareland,19,0,0,0,0,4,0,0,27,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,Built-up,0,0,0,0,0,1,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,Grassland,0,0,0,0,0,30,0,0,0,12
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,Wetland,0,0,0,0,0,314,0,0,0,220
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,Shrubland,0,0,0,0,0,3,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,Cropland,0,0,0,0,0,11,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,Water,0,0,0,0,0,0,0,0,0,267
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,Forest,0,0,0,0,0,140,0,0,0,79
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,Bareland,0,0,0,0,0,10,0,0,0,15
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZG_M_R,Grassland,27,227,0,4,132,11,120,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZG_M_R,Wetland,0,130,4,8,144,76,9,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZG_M_R,Bareland,19,56,0,0,21,4,73,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZG_M_R,Forest,124,324,98,53,0,74,202,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZG_M_R,Cropland,1,161,54,0,99,0,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZG_M_R,Built-up,0,47,2,0,4,1,30,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZG_M_R,Water,265,142,8,24,175,0,55,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,Grassland,22,0,0,5,85,30,207,77,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,Forest,69,0,0,4,0,179,168,89,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,Wetland,0,0,0,28,144,160,24,10,0,0
