datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",203
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",190
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",178
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",137
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",97
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",70
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",70
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",61
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",60
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",54
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",43
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",35
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R",32
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",31
"AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",28
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",26
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",21
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",19
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R",17
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R",14
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R",14
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",12
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",12
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",12
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R",10
