Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Grassland,190,12,8,11,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Non_Wetland,10,1,0,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Water,754,0,428,77,0,835,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Wetland,643,1,0,10,135,823,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Bareland,134,19,17,0,8,202,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Shrubland,18,5,0,0,0,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Built-up,106,0,2,18,2,132,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Forest,0,53,45,23,91,466,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Cropland,37,2,0,0,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUT_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Non_Wetland,2,0,7,3,3,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Grassland,51,6,193,91,74,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Wetland,77,4,0,88,448,239,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Bareland,59,5,34,0,143,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Forest,0,20,595,166,351,435,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Water,199,6,629,78,0,312,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Shrubland,5,0,10,11,8,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Built-up,30,0,32,72,24,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Cropland,13,0,16,2,1,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUT_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Non_Wetland,0,0,14,2,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Wetland,29,2,0,182,391,241,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Forest,0,35,713,366,248,434,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Grassland,7,12,220,161,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Water,65,8,790,344,0,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Shrubland,0,1,20,14,3,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Bareland,0,1,32,0,10,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Built-up,0,0,49,103,2,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Cropland,0,0,21,23,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUT_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Grassland,0,0,60,0,4,0,0,411,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Wetland,0,0,0,0,109,0,0,596,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Forest,0,0,249,0,89,0,0,1142,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Bareland,0,0,54,0,6,0,0,83,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Water,0,0,441,0,0,0,0,781,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Shrubland,0,0,0,0,0,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Built-up,0,0,18,0,1,0,0,83,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Cropland,0,0,0,0,0,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUT_M_R,Grassland,0,0,0,0,121,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUT_M_R,Wetland,0,0,0,0,641,0,0,0,330,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUT_M_R,Bareland,0,0,0,0,77,0,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUT_M_R,Forest,0,0,0,0,312,0,0,0,144,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUT_M_R,Shrubland,0,0,0,0,4,0,0,0,2,0,0,0
