Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Water,Grassland,Built-up,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,Grassland,5,29,83,24,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,Non_Wetland,0,1,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,Bareland,0,10,0,10,22,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,Water,0,158,566,77,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,Forest,9,235,600,0,128,126,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,Shrubland,0,0,5,1,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,Cropland,0,1,4,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,Wetland,0,0,191,8,105,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVQ_M_R,Built-up,0,1,22,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R,Grassland,0,0,2,50,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R,Non_Wetland,0,0,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R,Bareland,0,4,0,256,92,346,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R,Water,0,71,63,369,0,223,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R,Shrubland,0,0,0,3,0,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R,Cropland,0,0,0,2,0,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R,Wetland,0,0,33,179,65,147,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R,Built-up,0,0,0,5,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVQ_M_R,Forest,0,5,43,0,120,232,24,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVQ_M_R,Grassland,0,15,0,0,1,0,0,46,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVQ_M_R,Bareland,0,133,0,0,35,0,0,235,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVQ_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVQ_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVQ_M_R,Forest,0,222,0,0,83,0,0,371,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVQ_M_R,Wetland,0,0,0,0,12,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVQ_M_R,Built-up,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVQ_M_R,Water,0,261,0,0,0,0,0,137,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,Forest,0,188,475,0,134,258,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,Non_Wetland,0,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,Grassland,0,11,80,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,Water,0,144,487,37,0,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,Shrubland,0,3,5,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,Cropland,0,0,6,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,Wetland,0,0,198,9,78,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,Bareland,0,7,0,8,20,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVQ_M_R,Built-up,0,0,23,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVQ_M_R,Bareland,0,0,0,0,325,0,0,0,73,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVQ_M_R,Shrubland,0,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVQ_M_R,Grassland,0,0,0,0,9,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVQ_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVQ_M_R,Wetland,0,0,0,0,121,0,0,0,91,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVQ_M_R,Water,0,0,0,0,0,0,0,0,204,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVQ_M_R,Forest,0,0,0,0,223,0,0,0,114,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVQ_M_R,Built-up,0,0,0,0,4,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVQ_M_R,Grassland,37,15,14,26,1,0,17,0,0,32,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVQ_M_R,Bareland,155,133,0,119,35,65,124,0,0,133,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVQ_M_R,Forest,144,222,121,0,83,79,67,0,0,83,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVQ_M_R,Water,91,261,89,86,0,25,48,0,0,29,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVQ_M_R,Wetland,7,0,3,3,12,0,6,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVQ_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVQ_M_R,Grassland,0,6,0,35,10,0,8,0,0,1,0,0
