datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",2009
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",1627
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",946
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",736
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",553
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",513
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",457
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",442
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",377
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",331
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",225
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",222
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",208
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",196
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",153
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",149
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",122
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",121
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R",101
