Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Cropland,Wetland,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Grassland,483,85,7,53,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Non_Wetland,5,0,0,0,0,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Cropland,212,44,3,17,0,0,204,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Wetland,530,1,203,18,0,0,669,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Bareland,161,27,31,0,0,9,251,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Built-up,109,0,3,18,1,0,118,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Water,645,4,0,88,0,178,654,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Forest,0,65,77,16,0,6,562,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Shrubland,19,6,0,3,0,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R,Permanent_ice_and_snow,1,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Non_Wetland,1,0,1,1,0,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Grassland,137,40,146,138,0,242,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Cropland,62,11,5,29,0,44,146,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Bareland,25,7,125,0,0,103,106,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Water,187,15,0,34,0,444,268,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Forest,0,26,344,212,0,555,565,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Shrubland,5,2,8,5,0,10,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Wetland,105,1,444,24,0,0,192,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Built-up,8,0,27,72,0,32,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,Grassland,0,0,32,0,0,94,0,632,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,Wetland,0,0,53,0,0,0,0,473,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,Forest,0,0,77,0,0,240,0,1077,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,Water,0,0,0,0,0,392,0,615,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,Shrubland,0,0,0,0,0,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,Bareland,0,0,12,0,0,59,0,137,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,Built-up,0,0,0,0,0,1,0,59,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,Cropland,0,0,2,0,0,13,0,87,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Non_Wetland,0,0,0,2,1,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Forest,0,24,107,427,204,666,620,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Grassland,63,29,27,318,254,338,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,Water,36,16,0,286,117,747,223,0,0,0,0,0
