datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",926
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",892
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",772
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",474
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",421
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",288
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",230
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",223
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",190
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R",156
