datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R",573
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R",384
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R",317
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R",234
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R",180
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R",117
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R",116
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R",100
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R",88
"AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R",75
