Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NXF_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXF_M_R,Grassland,0,6,34,2,8,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXF_M_R,Cropland,40,0,25,8,4,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXF_M_R,Wetland,137,0,75,5,66,97,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXF_M_R,Bareland,94,20,0,25,44,80,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXF_M_R,Built-up,25,8,24,0,8,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXF_M_R,Water,190,74,179,13,0,172,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXF_M_R,Forest,114,36,94,21,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXF_M_R,Permanent_ice_and_snow,11,0,9,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXF_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXF_M_R,Grassland,0,10,0,0,5,0,50,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXF_M_R,Forest,0,35,0,0,23,0,123,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXF_M_R,Wetland,0,0,0,0,15,0,223,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXF_M_R,Water,0,51,0,0,0,0,122,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXF_M_R,Bareland,0,17,0,0,18,0,70,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXF_M_R,Built-up,0,3,0,0,1,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXF_M_R,Cropland,0,0,0,0,1,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXF_M_R,Shrubland,0,0,0,0,5,0,0,1,0,0,0
