Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R,Shrubland,3,1,3,2,1,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R,Grassland,0,5,30,1,3,5,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R,Wetland,69,6,0,19,0,52,51,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R,Built-up,18,5,8,13,0,6,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R,Water,76,5,95,50,3,0,69,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R,Forest,53,5,55,20,11,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R,Cropland,32,0,25,1,6,1,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R,Bareland,36,1,25,0,3,17,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZG_M_R,Permanent_ice_and_snow,7,0,6,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,Grassland,0,0,7,0,0,2,0,47,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,Built-up,0,0,2,0,0,1,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,Forest,0,0,30,0,0,12,0,75,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,Cropland,0,0,1,0,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,Wetland,0,0,0,0,0,11,0,134,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,Water,0,0,42,0,0,0,0,81,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,Bareland,0,0,8,0,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZG_M_R,Shrubland,0,0,0,0,0,3,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZG_M_R,Grassland,0,0,0,0,0,10,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZG_M_R,Wetland,0,0,0,0,0,90,0,0,40,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZG_M_R,Built-up,0,0,0,0,0,19,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZG_M_R,Water,0,0,0,0,0,0,0,0,83,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZG_M_R,Forest,0,0,0,0,0,58,0,0,22,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZG_M_R,Cropland,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZG_M_R,Bareland,0,0,0,0,0,25,0,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZG_M_R,Cropland,10,0,1,0,5,0,23,0,0,41,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZG_M_R,Wetland,16,0,0,19,0,11,41,0,0,58,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZG_M_R,Water,24,0,58,33,23,0,57,0,0,84,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZG_M_R,Bareland,19,0,8,0,11,0,25,0,0,46,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZG_M_R,Built-up,9,0,2,4,0,1,13,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZG_M_R,Forest,30,0,41,14,15,20,0,0,0,74,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZG_M_R,Grassland,0,0,7,3,5,2,21,0,0,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZG_M_R,Permanent_ice_and_snow,2,0,0,0,1,0,3,0,0,10,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZG_M_R,Grassland,0,27,15,1,16,11,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZG_M_R,Wetland,0,39,0,8,20,45,31,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZG_M_R,Built-up,0,1,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZG_M_R,Water,0,31,65,12,43,0,28,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZG_M_R,Forest,0,22,26,5,36,37,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZG_M_R,Bareland,0,5,5,0,11,21,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZG_M_R,Cropland,0,0,5,2,7,3,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZG_M_R,Permanent_ice_and_snow,0,3,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZG_M_R,Wetland,37,23,0,22,0,42,60,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZG_M_R,Water,37,5,44,20,0,0,66,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZG_M_R,Forest,16,11,5,9,0,15,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZG_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZG_M_R,Built-up,2,6,0,5,0,3,6,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZG_M_R,Grassland,0,6,3,7,0,4,9,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZG_M_R,Bareland,0,0,2,0,0,2,1,0,0,0,0
