Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Shrubland,62,36,7,6,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Grassland,0,303,119,69,47,46,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Non_Wetland,7,6,0,5,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Water,564,653,42,262,77,0,117,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Forest,847,0,139,168,113,252,72,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Cropland,603,391,0,31,144,57,143,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Wetland,460,560,12,0,38,344,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Bareland,57,13,3,3,16,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Built-up,225,144,69,0,0,29,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R,Permanent_ice_and_snow,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Non_Wetland,3,3,0,10,0,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Shrubland,23,5,0,24,1,8,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Grassland,0,99,0,287,36,112,49,55,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Wetland,57,133,0,0,1,469,5,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Forest,353,0,0,836,75,506,139,171,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Cropland,397,168,0,226,101,79,212,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Bareland,22,1,0,11,1,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Built-up,82,13,0,51,0,39,105,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Water,126,151,0,554,52,0,43,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,Wetland,0,0,0,0,0,88,0,0,1222,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,Grassland,0,0,0,35,0,26,0,0,693,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,Water,0,0,0,296,0,0,0,0,871,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,Forest,0,0,0,230,0,108,0,0,1700,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,Shrubland,0,0,0,0,0,0,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,Cropland,0,0,0,9,0,11,0,0,402,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,Bareland,0,0,0,1,0,2,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,Built-up,0,0,0,7,0,6,0,0,95,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Grassland,0,102,42,320,33,16,61,96,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Non_Wetland,5,0,0,12,0,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Wetland,22,183,1,0,0,189,8,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Forest,358,0,46,904,43,134,234,225,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Water,68,220,5,790,45,0,204,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Shrubland,22,3,1,16,2,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Cropland,332,149,0,182,105,11,200,87,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Bareland,6,0,8,5,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Built-up,85,17,24,48,0,1,140,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,Grassland,0,317,481,35,147,26,34,373,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,Wetland,39,409,212,0,42,88,74,191,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,Forest,281,0,752,230,163,108,144,485,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,Cropland,72,190,0,9,169,11,9,249,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,Bareland,0,5,86,1,88,2,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,Built-up,14,41,190,7,0,6,1,72,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,Water,67,479,507,296,152,0,177,175,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,Shrubland,1,2,3,0,0,0,0,0,0,0,0,0
