Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R,Shrubland,96,60,20,11,9,16,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R,Grassland,0,152,126,54,52,51,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R,Non_Wetland,12,8,3,5,1,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R,Bareland,83,32,9,15,0,15,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R,Water,524,354,35,283,96,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R,Forest,705,0,217,167,106,122,276,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R,Wetland,154,141,12,0,26,3,184,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R,Built-up,95,95,32,3,32,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCD_M_R,Cropland,523,331,0,72,146,122,95,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Non_Wetland,4,3,0,18,5,0,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Shrubland,42,18,0,40,16,1,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Grassland,0,92,0,193,49,15,64,67,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Wetland,59,83,0,0,20,0,234,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Bareland,68,18,0,20,0,0,32,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Forest,528,0,0,710,236,23,302,361,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Water,323,146,0,569,120,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Cropland,637,237,0,303,162,49,58,189,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCD_M_R,Built-up,105,15,0,40,85,0,11,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCD_M_R,Wetland,0,0,0,0,0,0,44,0,701,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCD_M_R,Grassland,0,0,0,13,0,0,29,0,443,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCD_M_R,Bareland,0,0,0,5,0,0,2,0,47,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCD_M_R,Forest,0,0,0,103,0,0,96,0,1590,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCD_M_R,Water,0,0,0,221,0,0,0,0,914,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCD_M_R,Shrubland,0,0,0,0,0,0,0,0,96,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCD_M_R,Cropland,0,0,0,5,0,0,13,0,600,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCD_M_R,Built-up,0,0,0,0,0,0,0,0,85,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Grassland,0,59,27,233,159,9,4,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Non_Wetland,5,1,0,20,4,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Forest,483,0,59,1036,496,33,77,266,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Water,73,141,0,1001,480,1,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Bareland,17,4,0,15,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Wetland,7,8,0,0,76,0,57,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Shrubland,40,18,1,44,41,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Cropland,519,146,0,290,387,53,11,80,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCD_M_R,Built-up,102,7,1,46,125,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCD_M_R,Grassland,0,0,0,0,0,0,59,0,0,51,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCD_M_R,Wetland,0,0,0,0,0,0,130,0,0,144,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCD_M_R,Shrubland,0,0,0,0,0,0,5,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCD_M_R,Water,0,0,0,0,0,0,0,0,0,484,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCD_M_R,Cropland,0,0,0,0,0,0,40,0,0,30,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCD_M_R,Built-up,0,0,0,0,0,0,6,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCD_M_R,Bareland,0,0,0,0,0,0,3,0,0,11,0,0
