Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Water,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Shrubland,257,50,182,47,58,40,39,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Grassland,0,121,211,43,70,69,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Non_Wetland,8,1,8,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Bareland,166,33,91,36,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Water,653,55,725,16,0,229,103,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Forest,875,265,0,96,339,160,33,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Cropland,646,0,467,134,78,159,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Wetland,104,4,76,0,125,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Built-up,190,76,175,0,21,68,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDG_M_R,Non_Water,1,0,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Non_Wetland,2,0,1,0,0,2,15,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Shrubland,82,0,21,14,40,42,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Grassland,0,0,89,29,103,53,109,216,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Cropland,604,0,246,130,93,204,184,480,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Wetland,19,0,2,0,110,3,0,113,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Bareland,111,0,12,17,108,0,10,60,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Water,335,0,172,25,0,74,147,567,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Forest,603,0,0,89,522,311,439,1061,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Non_Water,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDG_M_R,Built-up,108,0,25,0,38,100,4,104,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Grassland,0,79,59,14,44,162,87,221,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Non_Wetland,4,0,1,0,0,4,10,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Forest,529,164,0,22,219,852,441,908,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Wetland,19,0,40,0,10,58,0,105,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Water,281,6,249,13,0,806,231,616,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Non_Water,1,0,0,0,0,1,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Shrubland,77,20,17,2,7,103,42,0,0,0,0
