datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",2339
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",2066
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",1370
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",946
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",823
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",812
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",693
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",673
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",635
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",579
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",541
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",464
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",448
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",419
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",400
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",389
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",333
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",332
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",331
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R",311
