Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Shrubland,251,80,27,83,131,22,17,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Grassland,0,228,35,78,225,42,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Non_Wetland,7,5,2,0,7,6,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Bareland,278,82,0,69,130,2,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Built-up,501,235,154,0,318,5,36,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Water,1147,245,274,133,792,271,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Forest,1388,490,117,333,0,152,310,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Cropland,1008,0,243,356,610,47,81,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Wetland,338,105,13,13,211,0,54,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Non_Water,4,2,1,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGE_M_R,Permanent_ice_and_snow,1,0,1,0,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Non_Wetland,4,0,0,0,2,13,4,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Shrubland,61,0,38,27,34,51,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Grassland,0,0,43,81,142,165,110,102,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Cropland,638,0,300,354,436,340,221,427,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Wetland,88,0,14,14,48,0,212,14,0,0,0
