Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Shrubland,336,34,147,70,34,45,57,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Grassland,0,117,243,99,60,40,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Non_Wetland,13,1,4,8,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Bareland,246,24,70,5,0,33,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Forest,921,117,0,170,115,63,250,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Cropland,585,0,285,13,124,87,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Wetland,482,9,90,0,8,0,91,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Built-up,208,25,137,0,63,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Water,886,5,441,365,188,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Non_Water,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCJ_M_R,Permanent_ice_and_snow,4,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Non_Wetland,1,0,1,15,0,0,5,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Shrubland,78,0,27,73,39,11,39,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Grassland,0,0,144,252,60,33,127,355,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Cropland,522,0,154,96,113,77,32,332,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Wetland,87,0,58,0,5,2,285,321,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Bareland,169,0,28,29,0,23,105,85,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCJ_M_R,Water,332,0,188,293,57,58,0,568,0,0,0,0
