Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Shrubland,324,48,53,147,71,55,50,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Grassland,0,125,58,239,51,19,27,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Bareland,212,47,0,119,30,1,45,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Water,708,25,117,371,0,270,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Forest,783,153,58,0,212,114,50,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Non_Wetland,9,1,0,5,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Cropland,711,0,197,373,91,12,118,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Wetland,229,3,8,56,74,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Built-up,199,61,60,126,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Non_Water,1,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCK_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCK_M_R,Shrubland,0,0,0,0,0,0,0,201,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCK_M_R,Wetland,0,0,0,0,42,0,0,333,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCK_M_R,Grassland,0,0,0,0,45,41,0,298,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCK_M_R,Water,0,0,0,0,0,271,0,271,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCK_M_R,Forest,0,0,0,0,139,160,0,725,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCK_M_R,Bareland,0,0,0,0,49,5,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCK_M_R,Cropland,0,0,0,0,24,16,0,218,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCK_M_R,Built-up,0,0,0,0,21,0,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Shrubland,92,0,40,20,30,71,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Non_Wetland,2,0,0,2,0,11,0,0,8,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Grassland,0,0,50,123,61,182,34,0,293,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Cropland,659,0,191,164,106,138,101,0,543,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Wetland,47,0,1,21,149,0,0,0,193,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Bareland,165,0,0,21,58,9,24,0,106,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Built-up,114,0,81,13,12,9,0,0,112,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Water,384,0,69,118,0,150,18,0,616,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Forest,524,0,162,0,320,369,27,0,1022,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Non_Water,1,0,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCK_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Grassland,0,126,186,33,55,119,22,0,274,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Non_Wetland,3,0,4,0,1,12,0,0,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Wetland,61,0,130,15,79,0,0,0,232,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Forest,469,173,479,0,255,363,15,0,899,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Non_Water,0,0,1,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Water,144,6,548,109,0,211,26,0,522,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Shrubland,84,25,103,11,28,63,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Bareland,81,55,0,0,2,1,13,0,37,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Cropland,494,0,383,27,51,77,70,0,284,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCK_M_R,Built-up,131,14,152,9,0,5,0,0,77,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCK_M_R,Grassland,0,0,0,0,76,0,0,0,0,42,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCK_M_R,Shrubland,0,0,0,0,47,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCK_M_R,Wetland,0,0,0,0,163,0,0,0,0,114,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCK_M_R,Bareland,0,0,0,0,25,0,0,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCK_M_R,Cropland,0,0,0,0,57,0,0,0,0,29,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCK_M_R,Water,0,0,0,0,0,0,0,0,0,394,0
