datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",1521
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",1482
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",1037
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",757
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",737
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",470
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",461
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",424
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",398
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDL_M_R",362
