Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Built-up,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Shrubland,389,72,87,95,214,77,167,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Grassland,0,173,82,37,251,61,73,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Bareland,330,94,0,44,170,76,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Built-up,291,134,108,16,193,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Water,1241,213,293,0,804,33,426,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Forest,1083,287,187,290,0,168,256,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Non_Wetland,2,0,0,0,3,0,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Cropland,764,0,251,91,468,215,60,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Wetland,216,12,5,31,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGJ_M_R,Non_Water,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Non_Wetland,2,0,7,1,1,0,4,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Grassland,0,114,217,45,121,29,15,290,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Wetland,45,3,279,54,14,0,0,162,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Bareland,139,24,0,14,40,34,1,69,0,0,0
