Dataset,MajorityClass,Shrubland,Bareland,Water,Forest,Wetland,Built-up,Grassland,Cropland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Grassland,7,28,31,53,79,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Non_Wetland,1,1,1,1,4,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Bareland,0,0,16,19,34,0,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Built-up,0,42,19,14,29,0,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Water,0,50,0,59,132,9,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Forest,33,122,92,0,238,37,137,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Shrubland,0,4,3,6,6,2,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Cropland,0,8,4,31,30,2,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Wetland,1,65,160,77,0,5,91,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,Permanent_ice_and_snow,0,3,0,1,12,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Non_Wetland,0,1,1,0,5,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Shrubland,0,6,5,2,9,4,9,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Grassland,0,56,15,9,49,34,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Cropland,0,36,1,0,20,9,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Wetland,0,127,107,30,0,25,142,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Bareland,0,0,7,5,14,9,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Built-up,0,40,7,3,20,0,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Water,0,95,0,26,109,17,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Forest,0,148,70,0,151,73,206,19,0,0,0
