Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Wetland,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Shrubland,240,154,56,75,42,21,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Grassland,0,551,123,128,167,134,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Non_Wetland,7,9,0,1,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Bareland,318,148,0,69,5,21,49,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Built-up,392,332,115,0,17,77,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Water,742,945,212,15,319,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Forest,990,0,121,214,263,121,134,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Cropland,507,351,82,106,11,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Wetland,405,462,45,7,0,6,167,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Non_Water,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Non_Wetland,6,4,0,0,9,0,3,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Shrubland,80,40,32,26,30,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Grassland,0,272,108,91,179,0,104,286,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Cropland,433,176,100,62,39,0,10,235,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Wetland,270,112,21,18,0,0,322,141,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Bareland,157,58,0,70,30,0,141,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Built-up,206,80,135,0,33,0,45,178,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Water,530,289,73,88,222,0,0,199,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Forest,947,0,202,176,506,0,383,786,0,0,0,0
