Dataset,MajorityClass,Forest,Wetland,Water,Cropland,Bareland,Grassland,Built-up,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R,Grassland,48,12,3,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R,Bareland,11,0,5,0,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R,Shrubland,10,2,1,0,3,8,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R,Wetland,188,0,61,3,31,100,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R,Cropland,9,7,0,0,7,28,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R,Built-up,96,7,0,0,16,88,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R,Water,385,137,0,0,77,103,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R,Forest,0,49,46,0,40,182,23,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCK_M_R,Permanent_ice_and_snow,3,3,0,0,1,5,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,Grassland,21,79,0,0,4,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,Shrubland,1,3,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,Bareland,0,19,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,Forest,0,286,47,0,20,120,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,Built-up,2,55,19,0,38,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,Wetland,1,0,41,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,Water,64,208,0,0,4,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,Cropland,1,3,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCK_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,Grassland,0,7,4,0,0,0,0,153,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,Shrubland,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,Wetland,0,0,15,0,0,0,0,123,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,Forest,0,119,79,0,0,0,0,472,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,Bareland,0,4,5,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,Water,0,229,0,0,0,0,0,219,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,Cropland,0,0,0,0,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,Built-up,0,1,0,0,0,0,0,97,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,4,0,0,0
