Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Bareland,Shrubland,Grassland,Built-up,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDJ_M_R,Grassland,268,14,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDJ_M_R,Wetland,565,0,61,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDJ_M_R,Water,340,301,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDJ_M_R,Shrubland,22,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDJ_M_R,Forest,666,149,44,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDJ_M_R,Bareland,44,13,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDJ_M_R,Cropland,29,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDJ_M_R,Built-up,35,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDJ_M_R,Permanent_ice_and_snow,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Grassland,0,187,11,33,45,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Bareland,0,40,26,9,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Non_Wetland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Water,0,504,0,64,13,1,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Shrubland,0,11,5,3,4,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Wetland,0,0,330,27,12,0,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Forest,0,516,142,0,102,16,143,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Cropland,0,17,5,4,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Built-up,0,22,2,2,44,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDJ_M_R,Permanent_ice_and_snow,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Wetland,0,0,222,30,247,0,239,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Grassland,0,105,7,9,63,0,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Non_Wetland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Water,0,283,0,54,264,0,75,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Shrubland,0,9,1,0,11,0,6,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Forest,0,306,67,0,249,0,260,31,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Cropland,0,11,1,0,13,0,7,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Built-up,0,14,0,0,8,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Bareland,0,7,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDJ_M_R,Permanent_ice_and_snow,0,1,0,0,3,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Wetland,0,0,98,341,69,0,264,6,16,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Non_Wetland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Bareland,0,6,1,16,0,0,34,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Water,0,362,0,372,105,0,168,5,12,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Shrubland,0,2,0,14,1,0,15,1,1,0,0
