Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Shrubland,178,42,79,16,17,18,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Grassland,0,266,253,67,82,72,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Non_Wetland,11,0,5,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Bareland,214,43,61,0,0,35,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Built-up,369,149,197,0,152,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Water,1431,398,780,150,546,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Forest,1350,323,0,223,185,151,195,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Cropland,863,0,424,32,235,190,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Wetland,509,157,146,0,20,2,57,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Non_Water,3,3,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R,Permanent_ice_and_snow,6,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Non_Wetland,2,0,2,7,0,0,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Shrubland,41,0,21,27,19,10,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Grassland,0,0,134,124,73,66,209,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Cropland,570,0,282,138,170,206,332,114,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Wetland,84,0,70,0,10,5,228,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Bareland,74,0,13,2,0,33,112,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Built-up,117,0,64,11,106,0,73,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Water,434,0,300,105,76,140,0,61,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Forest,562,0,0,252,216,127,518,290,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Non_Water,2,0,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,Permanent_ice_and_snow,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Grassland,0,67,125,172,138,34,191,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Non_Wetland,0,0,0,11,3,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Forest,461,129,0,620,492,90,361,266,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Non_Water,0,0,0,0,1,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Shrubland,36,10,23,19,53,4,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Wetland,54,20,62,0,43,0,219,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Water,199,49,224,465,494,77,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Cropland,520,0,195,146,240,168,244,98,0,0,0,0
