Dataset,MajorityClass,Bareland,Built-up,Forest,Cropland,Wetland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Grassland,13,28,105,42,41,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Water,277,119,487,104,77,0,717,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Forest,57,153,0,56,80,116,791,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Cropland,12,32,69,0,30,1,189,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Non_Wetland,0,0,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Wetland,18,17,71,18,0,28,125,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Bareland,0,22,29,5,0,16,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Built-up,94,0,200,42,40,54,292,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Non_Water,0,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Shrubland,3,3,13,2,2,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R,Permanent_ice_and_snow,3,1,8,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Grassland,18,47,55,0,46,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Cropland,18,36,38,0,22,4,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Wetland,20,9,4,0,0,81,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Non_Wetland,1,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Bareland,0,33,4,0,0,69,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Forest,102,121,0,0,140,396,222,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Non_Water,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Shrubland,2,2,6,0,0,6,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Built-up,79,0,53,0,19,93,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Water,85,156,163,0,25,0,128,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Grassland,47,16,54,34,28,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Non_Wetland,0,0,0,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Shrubland,8,0,2,2,4,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Forest,238,100,0,24,187,288,116,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Water,371,45,111,0,72,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Cropland,23,29,38,0,9,1,49,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Wetland,37,1,7,0,0,31,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Bareland,0,1,2,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Built-up,231,0,22,17,50,47,14,0,0,0,0,0
