Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Shrubland,310,54,94,70,81,174,82,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Non_Wetland,9,0,4,0,6,6,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Grassland,0,112,64,35,45,210,47,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Bareland,253,34,0,43,34,142,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Forest,651,149,99,62,212,0,92,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Cropland,417,0,126,115,18,321,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Wetland,109,5,5,2,93,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Built-up,158,43,42,0,3,121,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Water,659,15,184,8,0,379,218,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Non_Water,1,0,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKH_M_R,Permanent_ice_and_snow,7,0,7,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Non_Wetland,7,0,0,0,6,2,14,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Shrubland,118,0,52,11,42,51,85,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Grassland,0,0,61,15,29,150,106,245,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Cropland,431,0,109,23,9,226,48,482,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Wetland,63,0,6,0,124,14,0,128,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Bareland,133,0,0,32,40,26,55,159,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Built-up,86,0,68,0,9,32,21,149,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Water,365,0,79,16,0,205,256,735,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Forest,500,0,217,64,214,0,439,917,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Non_Water,1,0,0,0,2,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKH_M_R,Permanent_ice_and_snow,2,0,1,0,0,0,10,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,Wetland,0,0,0,0,27,0,0,0,353,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,Shrubland,0,0,0,0,0,0,0,0,252,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,Grassland,0,0,0,0,26,0,14,0,209,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,Water,0,0,0,0,0,0,209,0,465,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,Forest,0,0,0,0,144,0,93,0,885,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,Bareland,0,0,0,0,65,0,10,0,72,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,Cropland,0,0,0,0,19,0,1,0,97,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,Built-up,0,0,0,0,10,0,0,0,35,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Grassland,0,103,143,5,18,78,62,234,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Non_Wetland,5,0,5,0,0,1,18,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Wetland,52,0,62,0,24,7,0,97,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Water,242,8,555,4,0,125,515,567,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Forest,574,183,478,36,143,0,500,859,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Bareland,129,43,0,6,15,3,10,89,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Non_Water,2,0,1,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Shrubland,123,27,116,15,24,25,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Built-up,144,10,121,0,0,9,13,123,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Cropland,363,0,263,40,3,81,35,266,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKH_M_R,Permanent_ice_and_snow,9,0,10,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKH_M_R,Grassland,0,0,0,0,99,0,0,0,0,20,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKH_M_R,Water,0,0,0,0,0,0,0,0,0,395,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKH_M_R,Shrubland,0,0,0,0,105,0,0,0,0,31,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKH_M_R,Wetland,0,0,0,0,131,0,0,0,0,55,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKH_M_R,Forest,0,0,0,0,279,0,0,0,0,119,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKH_M_R,Bareland,0,0,0,0,43,0,0,0,0,14,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKH_M_R,Cropland,0,0,0,0,16,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKH_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,Grassland,0,342,21,64,26,276,14,443,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,Wetland,1,16,3,2,27,88,0,154,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,Bareland,8,255,0,67,65,121,10,270,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,Forest,158,477,55,121,144,0,93,677,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,Built-up,17,139,3,0,10,42,0,138,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,Water,1,239,69,19,0,398,209,572,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,Cropland,58,0,3,73,19,215,1,330,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,Shrubland,13,44,10,20,0,44,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKH_M_R,Permanent_ice_and_snow,0,10,0,1,0,2,0,6,0,0,0
