datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R",2264
"AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R",1123
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R",841
"AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R",803
"AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R",759
"AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R",580
"AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R",551
"AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R",537
"AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R",526
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPD_M_R",524
