Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Shrubland,300,93,76,76,37,162,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Grassland,0,196,101,60,40,194,102,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Non_Wetland,0,0,0,0,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Bareland,212,65,0,49,15,101,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Built-up,270,93,81,0,9,141,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Water,1025,157,185,12,0,450,211,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Forest,954,340,177,154,47,0,182,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Non_Water,3,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Cropland,444,0,223,128,13,283,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Wetland,215,23,22,0,35,72,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LRD_M_R,Permanent_ice_and_snow,16,2,15,0,7,1,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Non_Wetland,3,0,0,0,1,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Shrubland,130,0,30,17,49,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Grassland,0,0,84,54,142,94,0,284,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Bareland,227,0,0,39,123,26,0,93,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Built-up,182,0,69,0,44,12,0,125,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Water,495,0,19,78,0,7,0,514,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Forest,706,0,259,133,412,0,0,1066,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Non_Water,1,0,0,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRD_M_R,Cropland,523,0,281,111,106,192,0,389,0,0,0,0
