Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Bareland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Shrubland,291,48,85,197,84,36,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Grassland,0,128,74,354,71,41,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Bareland,183,25,32,92,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Forest,829,151,128,0,87,90,135,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Non_Wetland,5,1,0,5,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Cropland,452,0,107,345,86,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Wetland,297,0,12,336,16,92,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Built-up,228,47,0,212,67,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Water,587,3,57,642,151,0,252,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKN_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Non_Wetland,2,0,0,1,1,0,12,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Grassland,0,86,57,111,156,60,113,242,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Forest,715,83,128,0,410,199,598,782,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Bareland,54,3,8,2,0,15,3,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Non_Water,0,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Water,158,0,33,250,174,0,589,353,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Shrubland,115,13,37,26,84,23,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Built-up,178,3,0,11,184,2,9,112,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Cropland,434,0,81,88,282,17,28,193,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Wetland,83,0,2,104,31,91,0,151,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKN_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Shrubland,78,0,16,46,60,29,46,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Non_Wetland,3,0,0,2,1,0,7,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Grassland,0,0,34,209,69,52,66,328,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Cropland,409,0,28,216,162,11,44,378,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Wetland,63,0,6,185,13,285,0,223,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Bareland,54,0,28,62,0,106,0,82,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Built-up,133,0,0,61,104,29,12,176,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Water,205,0,41,311,67,0,135,426,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Forest,552,0,97,0,259,277,295,931,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Non_Water,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKN_M_R,Grassland,0,0,0,0,0,33,54,0,254,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKN_M_R,Wetland,0,0,0,0,0,44,0,0,287,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKN_M_R,Forest,0,0,0,0,0,179,339,0,951,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKN_M_R,Water,0,0,0,0,0,0,479,0,459,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKN_M_R,Shrubland,0,0,0,0,0,0,0,0,141,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKN_M_R,Cropland,0,0,0,0,0,11,10,0,69,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKN_M_R,Bareland,0,0,0,0,0,23,27,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKN_M_R,Built-up,0,0,0,0,0,10,17,0,22,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKN_M_R,Grassland,0,0,0,0,0,87,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKN_M_R,Shrubland,0,0,0,0,0,57,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKN_M_R,Water,0,0,0,0,0,0,0,0,0,329,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKN_M_R,Forest,0,0,0,0,0,290,0,0,0,121,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKN_M_R,Cropland,0,0,0,0,0,12,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKN_M_R,Bareland,0,0,0,0,0,69,0,0,0,28,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKN_M_R,Built-up,0,0,0,0,0,26,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKN_M_R,Wetland,0,0,0,0,0,213,0,0,0,150,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,Grassland,0,176,95,331,46,33,54,471,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,Forest,414,239,169,0,120,179,339,767,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,Bareland,28,95,95,76,0,23,27,196,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKN_M_R,Built-up,70,75,0,87,6,10,17,202,0,0,0,0
