datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",2320
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",1229
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",795
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",722
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",530
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",514
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",484
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",448
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",385
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",337
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",291
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",288
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",274
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",237
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",209
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",198
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",187
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",180
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",174
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",168
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",162
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",129
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",128
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",128
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",127
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",124
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R",118
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",110
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",107
"AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",103
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",98
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",95
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",87
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",83
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",75
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",72
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R",69
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",68
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",59
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",57
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTH_M_R",57
