Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Shrubland,311,108,68,104,14,177,124,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Grassland,0,245,88,82,11,276,149,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Non_Wetland,0,0,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Bareland,239,47,0,45,6,61,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Built-up,288,110,103,0,2,150,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Water,697,80,132,38,0,319,413,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Forest,815,242,125,161,59,0,383,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Cropland,449,0,204,106,18,256,64,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Wetland,140,13,7,1,47,100,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Lichens_and_Mosses,2,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R,Permanent_ice_and_snow,29,2,2,1,0,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Non_Wetland,3,0,0,0,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Shrubland,100,0,38,44,23,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Grassland,0,0,37,107,64,225,0,403,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Cropland,460,0,123,245,30,244,0,454,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Bareland,163,0,0,81,40,68,0,102,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Built-up,161,0,21,0,27,66,0,166,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Water,304,0,4,36,0,342,0,513,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Forest,681,0,149,155,144,0,0,1034,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Wetland,163,0,5,12,85,308,0,284,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Lichens_and_Mosses,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,Permanent_ice_and_snow,15,0,1,0,1,18,0,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Non_Wetland,1,0,0,0,0,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Grassland,0,21,185,77,20,165,0,559,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Forest,726,28,439,90,114,0,0,1327,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Built-up,170,17,233,0,8,15,0,192,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Water,251,1,161,16,0,281,0,680,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Shrubland,98,8,68,22,15,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Bareland,121,13,0,45,13,14,0,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Cropland,503,0,329,184,16,144,0,491,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Wetland,71,0,34,5,71,173,0,403,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,Permanent_ice_and_snow,21,0,17,0,0,2,0,29,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,Shrubland,0,0,0,0,0,0,0,0,235,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,Grassland,0,0,0,0,17,0,19,0,316,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,Built-up,0,0,0,0,0,0,1,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,Forest,0,0,0,0,92,0,145,0,638,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,Water,0,0,0,0,0,0,229,0,303,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,Cropland,0,0,0,0,0,0,1,0,77,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,Wetland,0,0,0,0,34,0,0,0,516,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,Bareland,0,0,0,0,0,0,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,Shrubland,0,0,0,0,64,0,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,Grassland,0,0,0,0,132,0,0,0,0,84,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,Bareland,0,0,0,0,23,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,Cropland,0,0,0,0,65,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,Forest,0,0,0,0,193,0,0,0,0,125,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,Wetland,0,0,0,0,145,0,0,0,0,104,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,Built-up,0,0,0,0,21,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,Water,0,0,0,0,0,0,0,0,0,346,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,Grassland,0,571,31,144,17,397,19,463,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,Bareland,11,298,0,85,0,112,0,166,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,Built-up,45,252,25,0,0,110,1,208,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,Forest,381,739,57,197,92,0,145,624,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,Cropland,104,0,4,122,0,272,1,323,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,Water,53,430,45,49,0,363,229,327,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,Shrubland,37,85,7,32,0,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,Wetland,34,88,5,3,34,170,0,81,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,Permanent_ice_and_snow,5,43,0,1,0,13,0,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,Grassland,0,485,11,197,80,450,116,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,Built-up,0,60,20,0,2,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,Forest,0,451,0,311,205,0,282,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,Shrubland,0,142,0,88,38,202,60,0,0,0,0,0
