datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",2428
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",1343
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",850
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",766
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",675
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",513
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",508
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",466
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",420
"AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUJ_M_R",386
