Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Shrubland,447,108,69,103,30,192,109,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Grassland,0,296,114,117,50,301,115,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Non_Wetland,0,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Bareland,154,23,0,20,13,32,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Water,1775,346,393,85,0,719,492,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Forest,1184,313,73,114,122,0,312,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Cropland,513,0,141,127,28,289,67,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Built-up,315,146,101,0,6,204,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Non_Water,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Wetland,404,51,47,16,69,117,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUM_M_R,Permanent_ice_and_snow,48,12,8,9,4,28,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Non_Wetland,2,0,0,0,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Shrubland,140,0,14,22,33,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Grassland,0,0,27,102,126,206,0,542,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Bareland,174,0,0,29,52,22,0,99,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Built-up,244,0,19,0,10,21,0,184,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Forest,869,0,83,198,276,0,0,1287,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Non_Water,0,0,0,0,2,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Water,822,0,40,154,0,518,0,1038,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Cropland,717,0,70,164,48,216,0,503,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Wetland,215,0,5,15,166,134,0,304,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUM_M_R,Permanent_ice_and_snow,39,0,0,2,10,13,0,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Non_Wetland,2,0,2,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Grassland,0,17,290,78,51,166,0,562,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Forest,794,12,392,96,140,0,0,1499,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Bareland,56,0,0,17,5,1,0,38,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Built-up,254,1,225,0,4,6,0,177,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Non_Water,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Water,665,4,673,60,0,421,0,1146,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Shrubland,121,0,97,13,5,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Cropland,572,0,331,88,17,188,0,463,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Wetland,117,0,84,0,81,96,0,313,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUM_M_R,Permanent_ice_and_snow,34,0,15,1,2,6,0,42,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,Shrubland,0,0,0,0,0,0,0,0,329,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,Grassland,0,0,0,0,38,0,62,0,471,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,Water,0,0,0,0,0,0,625,0,629,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,Cropland,0,0,0,0,3,0,2,0,180,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,Forest,0,0,0,0,76,0,310,0,783,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUM_M_R,Wetland,0,0,0,0,3,0,0,0,515,0,0,0
