Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Water,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Shrubland,104,62,9,4,5,2,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Grassland,0,336,47,49,147,82,91,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Non_Wetland,7,2,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Bareland,301,76,32,0,29,100,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Built-up,430,294,54,163,0,59,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Water,668,622,265,166,39,0,106,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Forest,980,0,324,73,166,165,128,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Wetland,408,284,0,48,18,109,44,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Cropland,209,164,19,26,52,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVJ_M_R,Permanent_ice_and_snow,16,8,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Non_Wetland,1,3,6,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Shrubland,22,7,9,10,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Grassland,0,120,67,120,90,92,0,131,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Wetland,70,117,0,111,28,279,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Bareland,9,13,11,0,150,69,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Built-up,165,67,57,144,0,95,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Water,219,208,66,176,187,0,0,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Forest,581,0,269,305,129,257,0,297,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Non_Water,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Cropland,168,44,18,69,35,16,0,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVJ_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVJ_M_R,Wetland,0,0,0,0,0,7,0,0,467,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVJ_M_R,Grassland,0,0,95,0,0,18,0,0,415,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVJ_M_R,Forest,0,0,339,0,0,75,0,0,963,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVJ_M_R,Built-up,0,0,127,0,0,10,0,0,138,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVJ_M_R,Shrubland,0,0,0,0,0,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVJ_M_R,Cropland,0,0,8,0,0,0,0,0,58,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVJ_M_R,Bareland,0,0,131,0,0,20,0,0,64,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVJ_M_R,Water,0,0,492,0,0,0,0,0,337,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Grassland,0,119,40,54,119,16,0,114,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Non_Wetland,2,0,6,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Bareland,120,1,18,0,25,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Forest,870,0,305,199,165,127,0,232,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Shrubland,37,6,12,8,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Wetland,162,118,0,147,15,110,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Water,244,190,169,318,74,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Cropland,238,39,21,34,58,0,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Built-up,276,36,26,250,0,30,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVJ_M_R,Permanent_ice_and_snow,4,1,0,2,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVJ_M_R,Grassland,0,0,0,0,0,121,0,0,0,92,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVJ_M_R,Bareland,0,0,0,0,0,154,0,0,0,139,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVJ_M_R,Wetland,0,0,0,0,0,124,0,0,0,206,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVJ_M_R,Cropland,0,0,0,0,0,8,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVJ_M_R,Built-up,0,0,0,0,0,92,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVJ_M_R,Forest,0,0,0,0,0,215,0,0,0,211,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVJ_M_R,Water,0,0,0,0,0,0,0,0,0,528,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVJ_M_R,Grassland,0,315,98,70,112,18,365,347,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVJ_M_R,Wetland,35,117,0,6,9,7,69,118,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVJ_M_R,Forest,368,0,353,93,195,78,467,559,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVJ_M_R,Bareland,54,42,190,0,193,40,241,84,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVJ_M_R,Built-up,99,142,160,32,0,13,201,216,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVJ_M_R,Water,137,396,567,106,140,0,205,301,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVJ_M_R,Shrubland,4,4,0,0,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVJ_M_R,Cropland,32,74,10,1,21,0,0,111,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVJ_M_R,Permanent_ice_and_snow,1,5,0,0,0,0,7,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVJ_M_R,Grassland,0,380,144,26,310,154,250,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVJ_M_R,Wetland,0,176,0,8,283,256,51,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVJ_M_R,Built-up,0,21,1,8,0,5,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVJ_M_R,Forest,0,0,240,16,554,426,250,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVJ_M_R,Shrubland,0,33,2,0,5,3,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVJ_M_R,Water,0,77,149,39,321,0,45,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVJ_M_R,Bareland,0,38,0,0,285,188,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVJ_M_R,Cropland,0,30,0,3,51,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVJ_M_R,Permanent_ice_and_snow,0,6,0,0,0,2,0,0,0,0,0,0
