Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Shrubland,194,55,89,72,91,22,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Grassland,0,58,36,17,57,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Bareland,299,47,0,139,77,2,96,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Built-up,142,42,77,0,60,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Water,709,135,391,60,236,159,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Cropland,325,0,138,42,219,37,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Forest,342,95,62,26,0,27,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Non_Water,4,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Wetland,167,20,92,13,36,0,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R,Permanent_ice_and_snow,9,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Shrubland,50,0,74,18,2,0,50,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Grassland,0,0,23,20,3,0,14,114,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Cropland,263,0,135,112,85,0,81,369,0,0,0,0
