Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Shrubland,276,75,28,44,113,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Grassland,0,493,105,187,600,40,95,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Non_Wetland,3,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Bareland,368,182,0,96,95,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Built-up,685,377,192,0,420,17,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Water,1665,523,506,94,892,0,363,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Forest,1521,486,91,159,0,97,215,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Cropland,1065,0,158,296,584,22,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Wetland,781,217,70,24,422,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZR_M_R,Permanent_ice_and_snow,57,9,7,0,34,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Non_Wetland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Shrubland,56,0,13,18,10,10,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Grassland,0,0,116,208,255,153,95,442,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Cropland,844,0,195,379,228,128,19,461,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Bareland,160,0,0,124,9,71,1,72,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Built-up,352,0,158,0,43,59,6,209,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Water,538,0,33,156,316,0,94,327,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Forest,856,0,127,293,0,187,146,948,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Wetland,275,0,9,29,146,198,0,142,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZR_M_R,Permanent_ice_and_snow,13,0,2,1,4,2,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Grassland,0,455,223,242,259,92,37,300,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Forest,761,581,274,249,0,202,99,626,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Non_Wetland,0,1,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Built-up,275,187,338,0,30,28,0,135,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Water,257,387,261,250,242,0,42,278,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Shrubland,67,31,26,17,17,8,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Cropland,565,0,286,312,151,98,5,282,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Bareland,99,58,0,72,10,11,0,43,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Wetland,184,164,87,48,108,208,0,89,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZR_M_R,Permanent_ice_and_snow,11,17,9,1,5,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,Grassland,0,0,0,0,0,29,247,0,662,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,Wetland,0,0,0,0,0,7,0,0,505,0,0,0
