Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Shrubland,486,141,144,88,172,219,114,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Non_Wetland,0,0,0,0,0,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Grassland,0,235,58,31,174,270,164,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Bareland,321,130,0,98,60,39,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Built-up,324,198,138,0,30,171,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Water,1263,246,275,39,0,453,372,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Forest,627,211,55,29,220,0,159,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Non_Water,3,1,1,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Cropland,589,0,211,122,161,284,155,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Wetland,512,75,50,5,328,286,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXS_M_R,Permanent_ice_and_snow,5,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Non_Wetland,6,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Shrubland,160,0,72,40,65,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXS_M_R,Grassland,0,0,55,72,87,6,0,456,0,0,0,0
