Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
27,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Cropland,NULL,Non_Wetland,Water
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Cropland,Water,Non_Wetland,Water
39,NULL,NULL,Cropland,Water,Non_Wetland,Forest
40,NULL,NULL,Wetland,NULL,Wetland,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
42,NULL,NULL,Wetland,Water,Wetland,NULL
43,NULL,NULL,Wetland,Water,Wetland,Bareland
44,NULL,NULL,Wetland,Water,Wetland,Water
45,NULL,NULL,Wetland,Water,Wetland,Forest
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Bareland,NULL,Non_Wetland,Water
51,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
52,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
56,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
57,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
58,NULL,NULL,Bareland,Water,Non_Wetland,Water
59,NULL,NULL,Bareland,Water,Non_Wetland,Forest
60,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
63,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
64,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
65,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
66,NULL,NULL,Water,Non_Water,Water,Grassland
67,NULL,NULL,Water,Non_Water,Water,Bareland
68,NULL,NULL,Water,Non_Water,Water,Forest
69,NULL,NULL,Water,Water,Water,Grassland
70,NULL,NULL,Water,Water,Water,Water
71,NULL,NULL,Water,Water,Water,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
75,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
78,NULL,NULL,Forest,NULL,Non_Wetland,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,Forest
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
84,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
85,NULL,NULL,Forest,Water,Non_Wetland,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,Bareland
87,NULL,NULL,Forest,Water,Non_Wetland,Water
88,NULL,NULL,Forest,Water,Non_Wetland,Forest
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
96,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
97,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water
98,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
99,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
100,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
101,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
102,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
108,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
109,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
118,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water
119,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
