Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LTQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LTQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LTQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
40,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL
47,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
48,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
49,NULL,NULL,Grassland,Water,Non_Wetland,Water
50,NULL,NULL,Grassland,Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
52,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
57,NULL,NULL,Cropland,NULL,Non_Wetland,Water
58,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL
62,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,Water
64,NULL,NULL,Cropland,Water,Non_Wetland,Forest
65,NULL,NULL,Wetland,NULL,Wetland,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,Forest
67,NULL,NULL,Wetland,Water,Wetland,NULL
68,NULL,NULL,Wetland,Water,Wetland,Grassland
69,NULL,NULL,Wetland,Water,Wetland,Cropland
70,NULL,NULL,Wetland,Water,Wetland,Wetland
71,NULL,NULL,Wetland,Water,Wetland,Water
72,NULL,NULL,Wetland,Water,Wetland,Forest
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
74,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
79,NULL,NULL,Bareland,NULL,Non_Wetland,Water
80,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
81,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
87,NULL,NULL,Bareland,Water,Non_Wetland,NULL
88,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
90,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Water,Non_Wetland,Water
92,NULL,NULL,Bareland,Water,Non_Wetland,Forest
93,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
94,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
95,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
98,NULL,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
99,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
102,NULL,NULL,Built-up,Water,Non_Wetland,NULL
103,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
104,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
105,NULL,NULL,Water,NULL,NULL,Grassland
106,NULL,NULL,Water,NULL,NULL,Bareland
107,NULL,NULL,Water,NULL,NULL,Water
108,NULL,NULL,Water,NULL,NULL,Permanent_ice_and_snow
109,NULL,NULL,Water,NULL,Water,NULL
110,NULL,NULL,Water,NULL,Water,Grassland
111,NULL,NULL,Water,NULL,Water,Wetland
112,NULL,NULL,Water,NULL,Water,Bareland
113,NULL,NULL,Water,NULL,Water,Water
114,NULL,NULL,Water,NULL,Water,Permanent_ice_and_snow
115,NULL,NULL,Water,NULL,Water,Forest
116,NULL,NULL,Water,Non_Water,Water,Grassland
117,NULL,NULL,Water,Water,Water,NULL
118,NULL,NULL,Water,Water,Water,Grassland
119,NULL,NULL,Water,Water,Water,Wetland
120,NULL,NULL,Water,Water,Water,Bareland
121,NULL,NULL,Water,Water,Water,Built-up
