Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
33,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
38,NULL,NULL,Shrubland,Water,Non_Wetland,Water
39,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Grassland,NULL,Non_Wetland,Water
47,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
55,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
56,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
57,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
58,NULL,NULL,Grassland,Water,Non_Wetland,Forest
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
60,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
64,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
65,NULL,NULL,Cropland,NULL,Non_Wetland,Water
66,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
72,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
73,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
74,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
75,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
76,NULL,NULL,Cropland,Water,Non_Wetland,Water
77,NULL,NULL,Cropland,Water,Non_Wetland,Forest
78,NULL,NULL,Wetland,NULL,Wetland,Grassland
79,NULL,NULL,Wetland,NULL,Wetland,Cropland
80,NULL,NULL,Wetland,NULL,Wetland,Wetland
81,NULL,NULL,Wetland,NULL,Wetland,Bareland
82,NULL,NULL,Wetland,NULL,Wetland,Built-up
83,NULL,NULL,Wetland,NULL,Wetland,Water
84,NULL,NULL,Wetland,NULL,Wetland,Forest
85,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
86,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
87,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
88,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
89,NULL,NULL,Wetland,Non_Water,Wetland,Water
90,NULL,NULL,Wetland,Non_Water,Wetland,Forest
91,NULL,NULL,Wetland,Water,Wetland,Grassland
92,NULL,NULL,Wetland,Water,Wetland,Wetland
93,NULL,NULL,Wetland,Water,Wetland,Bareland
94,NULL,NULL,Wetland,Water,Wetland,Built-up
95,NULL,NULL,Wetland,Water,Wetland,Water
96,NULL,NULL,Wetland,Water,Wetland,Forest
97,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
98,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
100,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
101,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
102,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
103,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
104,NULL,NULL,Bareland,NULL,Non_Wetland,Water
105,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
106,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
113,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
114,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
115,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
116,NULL,NULL,Bareland,Water,Non_Wetland,Water
117,NULL,NULL,Bareland,Water,Non_Wetland,Forest
118,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
