Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
2,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
3,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
4,NULL,NULL,Wetland,NULL,Wetland,NULL
5,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
6,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
7,NULL,NULL,Water,NULL,Water,NULL
8,NULL,NULL,Forest,NULL,Non_Wetland,NULL
9,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
10,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
11,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
12,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
13,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
14,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
15,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
17,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
18,NULL,Wetland,Wetland,NULL,Wetland,NULL
19,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
20,NULL,Wetland,Water,NULL,Water,NULL
21,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
22,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
23,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
24,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
