Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTV_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Water
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
15,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
19,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Cropland,Water,Non_Wetland,Water
21,NULL,NULL,Wetland,NULL,Wetland,NULL
22,NULL,NULL,Wetland,NULL,Wetland,Grassland
23,NULL,NULL,Wetland,NULL,Wetland,Wetland
24,NULL,NULL,Wetland,NULL,Wetland,Water
25,NULL,NULL,Wetland,NULL,Wetland,Forest
26,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
27,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
28,NULL,NULL,Wetland,Non_Water,Wetland,Water
29,NULL,NULL,Wetland,Non_Water,Wetland,Forest
30,NULL,NULL,Wetland,Water,Wetland,Grassland
31,NULL,NULL,Wetland,Water,Wetland,Wetland
32,NULL,NULL,Wetland,Water,Wetland,Water
33,NULL,NULL,Wetland,Water,Wetland,Forest
34,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
37,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
38,NULL,NULL,Bareland,Water,Non_Wetland,Water
39,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
40,NULL,NULL,Water,NULL,Water,Water
41,NULL,NULL,Water,NULL,Water,Forest
42,NULL,NULL,Water,Non_Water,Water,Grassland
43,NULL,NULL,Water,Non_Water,Water,Wetland
44,NULL,NULL,Water,Non_Water,Water,Water
45,NULL,NULL,Water,Non_Water,Water,Forest
46,NULL,NULL,Water,Water,Water,Grassland
47,NULL,NULL,Water,Water,Water,Wetland
48,NULL,NULL,Water,Water,Water,Water
49,NULL,NULL,Water,Water,Water,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
53,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,Water
55,NULL,NULL,Forest,NULL,Non_Wetland,Forest
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
58,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
59,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
60,NULL,NULL,Forest,Water,Non_Wetland,Grassland
61,NULL,NULL,Forest,Water,Non_Wetland,Wetland
62,NULL,NULL,Forest,Water,Non_Wetland,Water
63,NULL,NULL,Forest,Water,Non_Wetland,Forest
64,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
65,NULL,Wetland,Wetland,NULL,Wetland,NULL
66,NULL,Wetland,Wetland,NULL,Wetland,Wetland
67,NULL,Wetland,Wetland,NULL,Wetland,Forest
68,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
69,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
70,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
71,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
72,NULL,Bareland,Wetland,Non_Water,Wetland,Water
73,NULL,Bareland,Wetland,Water,Wetland,Water
74,NULL,Bareland,Wetland,Water,Wetland,Forest
75,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
76,NULL,Bareland,Bareland,Water,Non_Wetland,Water
77,NULL,Bareland,Water,Water,Water,Grassland
78,NULL,Bareland,Water,Water,Water,Water
79,NULL,Bareland,Water,Water,Water,Forest
80,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
81,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
82,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
83,NULL,Bareland,Forest,Water,Non_Wetland,Water
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
86,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
87,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
89,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
90,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
91,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
92,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
93,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
94,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
95,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
96,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
97,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
98,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
99,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
101,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
102,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
103,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
104,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
105,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
106,NULL,Built-up,Wetland,NULL,Wetland,Forest
107,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
108,NULL,Built-up,Wetland,Water,Wetland,Water
109,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
110,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
112,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
113,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
114,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
115,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
116,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
117,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
119,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
120,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
121,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
122,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
123,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
124,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
125,NULL,Built-up,Water,NULL,Water,Water
126,NULL,Built-up,Water,NULL,Water,Forest
127,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
129,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
130,NULL,Built-up,Forest,NULL,Non_Wetland,Water
131,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
132,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
133,NULL,Built-up,Forest,Water,Non_Wetland,Water
134,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
136,NULL,Water,Shrubland,NULL,Non_Wetland,Water
137,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
138,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
139,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
140,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
141,NULL,Water,Shrubland,Water,Non_Wetland,Water
142,NULL,Water,Shrubland,Water,Non_Wetland,Forest
143,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
144,NULL,Water,Cropland,NULL,Non_Wetland,Forest
145,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
146,NULL,Water,Wetland,NULL,Wetland,Water
147,NULL,Water,Wetland,NULL,Wetland,Forest
148,NULL,Water,Wetland,Non_Water,Wetland,Water
149,NULL,Water,Wetland,Water,Wetland,Water
150,NULL,Water,Water,Non_Water,Water,Water
151,NULL,Water,Water,Water,Water,Water
152,NULL,Water,Water,Water,Water,Forest
153,NULL,Water,Forest,NULL,Non_Wetland,Grassland
154,NULL,Water,Forest,NULL,Non_Wetland,Bareland
155,NULL,Water,Forest,NULL,Non_Wetland,Water
156,NULL,Water,Forest,NULL,Non_Wetland,Forest
157,NULL,Water,Forest,Non_Water,Non_Wetland,Water
158,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
159,NULL,Water,Forest,Water,Non_Wetland,Grassland
160,NULL,Water,Forest,Water,Non_Wetland,Water
161,NULL,Water,Forest,Water,Non_Wetland,Forest
162,NULL,Forest,NULL,NULL,Non_Wetland,Forest
163,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
164,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
165,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
166,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
167,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
168,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
169,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
170,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
171,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
172,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
173,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
174,NULL,Forest,Cropland,Water,Non_Wetland,Bareland
175,NULL,Forest,Wetland,NULL,Wetland,NULL
176,NULL,Forest,Wetland,NULL,Wetland,Grassland
177,NULL,Forest,Wetland,NULL,Wetland,Wetland
178,NULL,Forest,Wetland,NULL,Wetland,Forest
179,NULL,Forest,Wetland,Non_Water,Wetland,Forest
180,NULL,Forest,Wetland,Water,Wetland,Water
181,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
182,NULL,Forest,Water,NULL,Water,Forest
183,NULL,Forest,Water,Water,Water,Water
184,NULL,Forest,Forest,NULL,Non_Wetland,NULL
185,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
186,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
187,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
188,NULL,Forest,Forest,NULL,Non_Wetland,Water
189,NULL,Forest,Forest,NULL,Non_Wetland,Forest
190,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
191,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
192,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
194,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
195,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
196,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
197,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
198,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
199,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
200,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
201,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
202,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
203,Grassland,NULL,Wetland,NULL,Wetland,NULL
204,Grassland,NULL,Wetland,NULL,Wetland,Grassland
205,Grassland,NULL,Wetland,NULL,Wetland,Wetland
206,Grassland,NULL,Wetland,NULL,Wetland,Water
207,Grassland,NULL,Wetland,NULL,Wetland,Forest
208,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
209,Grassland,NULL,Wetland,Non_Water,Wetland,Water
210,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
211,Grassland,NULL,Wetland,Water,Wetland,Grassland
212,Grassland,NULL,Wetland,Water,Wetland,Water
213,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
214,Grassland,NULL,Water,NULL,Water,Water
215,Grassland,NULL,Water,Non_Water,Water,Grassland
216,Grassland,NULL,Water,Water,Water,Grassland
217,Grassland,NULL,Water,Water,Water,Bareland
218,Grassland,NULL,Water,Water,Water,Water
219,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
220,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
221,Grassland,NULL,Forest,NULL,Non_Wetland,Water
222,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
223,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
224,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
225,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
226,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
227,Grassland,NULL,Forest,Water,Non_Wetland,Bareland
228,Grassland,NULL,Forest,Water,Non_Wetland,Water
229,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
230,Grassland,Wetland,Wetland,NULL,Wetland,Forest
231,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
232,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
233,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
234,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
235,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
236,Grassland,Water,Wetland,NULL,Wetland,Water
237,Grassland,Water,Wetland,Water,Wetland,Water
238,Grassland,Water,Forest,NULL,Non_Wetland,Forest
239,Grassland,Water,Forest,Water,Non_Wetland,Water
240,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
241,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
242,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
243,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
244,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
245,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
246,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
247,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
248,Grassland,Forest,Cropland,Water,Non_Wetland,Water
249,Grassland,Forest,Cropland,Water,Non_Wetland,Forest
250,Grassland,Forest,Wetland,NULL,Wetland,Grassland
251,Grassland,Forest,Wetland,NULL,Wetland,Wetland
252,Grassland,Forest,Wetland,NULL,Wetland,Forest
253,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
254,Grassland,Forest,Wetland,Water,Wetland,Water
255,Grassland,Forest,Bareland,Water,Non_Wetland,Water
256,Grassland,Forest,Water,Water,Water,Water
257,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
258,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
259,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
260,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
261,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
262,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
263,Grassland,Forest,Forest,Water,Non_Wetland,Water
264,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
265,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
266,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
267,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
268,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
269,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
270,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
271,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
272,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
273,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
274,Cropland,NULL,Grassland,Water,Non_Wetland,Water
275,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
276,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
277,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
278,Cropland,NULL,Cropland,Water,Non_Wetland,Water
279,Cropland,NULL,Wetland,NULL,Wetland,Water
280,Cropland,NULL,Wetland,Non_Water,Wetland,Water
281,Cropland,NULL,Wetland,Water,Wetland,Grassland
282,Cropland,NULL,Wetland,Water,Wetland,Wetland
283,Cropland,NULL,Wetland,Water,Wetland,Water
284,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
285,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
286,Cropland,NULL,Bareland,Water,Non_Wetland,Water
287,Cropland,NULL,Water,NULL,Water,Water
288,Cropland,NULL,Water,Non_Water,Water,Grassland
289,Cropland,NULL,Water,Non_Water,Water,Forest
290,Cropland,NULL,Water,Water,Water,Grassland
291,Cropland,NULL,Water,Water,Water,Water
292,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
293,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
294,Cropland,NULL,Forest,NULL,Non_Wetland,Water
295,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
