Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Water
16,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Water,Non_Wetland,Water
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Water,Non_Wetland,Water
45,NULL,NULL,Cropland,Water,Non_Wetland,Forest
46,NULL,NULL,Wetland,NULL,Wetland,Forest
47,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
48,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
49,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
50,NULL,NULL,Wetland,Non_Water,Wetland,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,Forest
52,NULL,NULL,Wetland,Water,Wetland,Grassland
53,NULL,NULL,Wetland,Water,Wetland,Cropland
54,NULL,NULL,Wetland,Water,Wetland,Bareland
55,NULL,NULL,Wetland,Water,Wetland,Water
56,NULL,NULL,Wetland,Water,Wetland,Forest
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
60,NULL,NULL,Bareland,NULL,Non_Wetland,Water
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
66,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
67,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
68,NULL,NULL,Bareland,Water,Non_Wetland,Water
69,NULL,NULL,Bareland,Water,Non_Wetland,Forest
70,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
74,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
75,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
79,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
80,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
81,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
82,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
83,NULL,NULL,Built-up,Water,Non_Wetland,Water
84,NULL,NULL,Water,NULL,Water,Grassland
85,NULL,NULL,Water,NULL,Water,Water
86,NULL,NULL,Water,NULL,Water,Forest
87,NULL,NULL,Water,Non_Water,Water,Grassland
88,NULL,NULL,Water,Non_Water,Water,Bareland
89,NULL,NULL,Water,Non_Water,Water,Water
90,NULL,NULL,Water,Non_Water,Water,Forest
91,NULL,NULL,Water,Water,Water,Grassland
92,NULL,NULL,Water,Water,Water,Cropland
93,NULL,NULL,Water,Water,Water,Bareland
94,NULL,NULL,Water,Water,Water,Water
95,NULL,NULL,Water,Water,Water,Forest
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
99,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
100,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
101,NULL,NULL,Forest,NULL,Non_Wetland,Water
102,NULL,NULL,Forest,NULL,Non_Wetland,Forest
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
104,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
105,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
106,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
107,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
109,NULL,NULL,Forest,Water,Non_Wetland,Grassland
110,NULL,NULL,Forest,Water,Non_Wetland,Bareland
111,NULL,NULL,Forest,Water,Non_Wetland,Water
112,NULL,NULL,Forest,Water,Non_Wetland,Forest
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
120,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
122,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
123,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water
124,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
125,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
126,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
127,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
128,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
129,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
130,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
135,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
136,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
137,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
138,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
139,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
140,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
141,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
142,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
143,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
144,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
145,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
146,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
147,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
148,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
149,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water
150,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
151,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
152,NULL,Cropland,Cropland,Water,Non_Wetland,Water
153,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
154,NULL,Cropland,Wetland,NULL,Wetland,Cropland
155,NULL,Cropland,Wetland,NULL,Wetland,Water
156,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
157,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland
158,NULL,Cropland,Wetland,Non_Water,Wetland,Water
159,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
160,NULL,Cropland,Wetland,Water,Wetland,Bareland
161,NULL,Cropland,Wetland,Water,Wetland,Water
162,NULL,Cropland,Wetland,Water,Wetland,Forest
163,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
164,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
165,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
166,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
167,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
168,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
169,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
170,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
171,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Water
172,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
173,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
174,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
175,NULL,Cropland,Bareland,Water,Non_Wetland,Water
176,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
177,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
178,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
179,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
180,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
181,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
182,NULL,Cropland,Water,NULL,Water,Grassland
183,NULL,Cropland,Water,Non_Water,Water,Grassland
184,NULL,Cropland,Water,Non_Water,Water,Water
185,NULL,Cropland,Water,Non_Water,Water,Forest
186,NULL,Cropland,Water,Water,Water,Grassland
187,NULL,Cropland,Water,Water,Water,Water
188,NULL,Cropland,Water,Water,Water,Forest
189,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
190,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
191,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
192,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
193,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
194,NULL,Cropland,Forest,NULL,Non_Wetland,Water
195,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
196,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
197,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
198,NULL,Cropland,Forest,Non_Water,Non_Wetland,Bareland
199,NULL,Cropland,Forest,Non_Water,Non_Wetland,Water
200,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
201,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
202,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
203,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
204,NULL,Cropland,Forest,Water,Non_Wetland,Water
205,NULL,Cropland,Forest,Water,Non_Wetland,Forest
206,NULL,Wetland,Wetland,Water,Wetland,Water
207,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
208,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
209,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
210,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
211,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
212,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
213,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
214,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
215,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
216,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
217,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
218,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
219,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
220,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
221,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
222,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
223,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
224,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
225,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
226,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
227,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
228,NULL,Bareland,Cropland,Water,Non_Wetland,Water
229,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
230,NULL,Bareland,Wetland,NULL,Wetland,Grassland
231,NULL,Bareland,Wetland,NULL,Wetland,Forest
232,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
233,NULL,Bareland,Wetland,Non_Water,Wetland,Cropland
234,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
235,NULL,Bareland,Wetland,Non_Water,Wetland,Water
236,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
237,NULL,Bareland,Wetland,Water,Wetland,Grassland
238,NULL,Bareland,Wetland,Water,Wetland,Bareland
239,NULL,Bareland,Wetland,Water,Wetland,Water
240,NULL,Bareland,Wetland,Water,Wetland,Forest
241,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
242,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
243,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
244,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
245,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
246,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
247,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
248,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
249,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
250,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
251,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
252,NULL,Bareland,Bareland,Water,Non_Wetland,Water
253,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
254,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
255,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
256,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
257,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
258,NULL,Bareland,Built-up,Water,Non_Wetland,Water
259,NULL,Bareland,Water,NULL,Water,Forest
260,NULL,Bareland,Water,Non_Water,Water,Grassland
261,NULL,Bareland,Water,Non_Water,Water,Bareland
262,NULL,Bareland,Water,Non_Water,Water,Water
263,NULL,Bareland,Water,Non_Water,Water,Forest
264,NULL,Bareland,Water,Water,Water,Bareland
265,NULL,Bareland,Water,Water,Water,Water
266,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
267,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
268,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
269,NULL,Bareland,Forest,NULL,Non_Wetland,Water
270,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
271,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
272,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
273,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
274,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
275,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
276,NULL,Bareland,Forest,Water,Non_Wetland,Water
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
284,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
285,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
286,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
287,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
288,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
289,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
290,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
