Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
6,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
9,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Wetland,NULL,Wetland,NULL
11,NULL,NULL,Wetland,NULL,Wetland,Grassland
12,NULL,NULL,Wetland,NULL,Wetland,Forest
13,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
14,NULL,NULL,Wetland,Water,Wetland,Water
15,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Water,Non_Water,Water,Grassland
17,NULL,NULL,Water,Water,Water,Water
18,NULL,NULL,Forest,NULL,Non_Wetland,NULL
19,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
20,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
21,NULL,NULL,Forest,NULL,Non_Wetland,Forest
22,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
23,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Bareland,Wetland,Water,Wetland,Water
25,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
26,NULL,Bareland,Built-up,Water,Non_Wetland,Water
27,NULL,Bareland,Water,Water,Water,Water
