Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Water
12,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
23,NULL,NULL,Grassland,Water,Non_Wetland,Water
24,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Cropland,NULL,Non_Wetland,Water
29,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
35,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
36,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,Water,Non_Wetland,Water
38,NULL,NULL,Wetland,NULL,Wetland,NULL
39,NULL,NULL,Wetland,NULL,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Wetland
41,NULL,NULL,Wetland,NULL,Wetland,Forest
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL
43,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
44,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
45,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
46,NULL,NULL,Wetland,Non_Water,Wetland,Water
47,NULL,NULL,Wetland,Non_Water,Wetland,Forest
48,NULL,NULL,Wetland,Water,Wetland,Grassland
49,NULL,NULL,Wetland,Water,Wetland,Wetland
50,NULL,NULL,Wetland,Water,Wetland,Bareland
51,NULL,NULL,Wetland,Water,Wetland,Water
52,NULL,NULL,Wetland,Water,Wetland,Forest
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Water
56,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
63,NULL,NULL,Bareland,Water,Non_Wetland,Water
64,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
70,NULL,NULL,Water,NULL,Water,Grassland
71,NULL,NULL,Water,NULL,Water,Water
72,NULL,NULL,Water,Non_Water,Water,Grassland
73,NULL,NULL,Water,Non_Water,Water,Bareland
74,NULL,NULL,Water,Non_Water,Water,Water
75,NULL,NULL,Water,Non_Water,Water,Forest
76,NULL,NULL,Water,Water,Water,Grassland
77,NULL,NULL,Water,Water,Water,Wetland
78,NULL,NULL,Water,Water,Water,Water
79,NULL,NULL,Water,Water,Water,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
82,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
83,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
84,NULL,NULL,Forest,NULL,Non_Wetland,Water
85,NULL,NULL,Forest,NULL,Non_Wetland,Forest
86,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
88,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
90,NULL,NULL,Forest,Water,Non_Wetland,Grassland
91,NULL,NULL,Forest,Water,Non_Wetland,Bareland
92,NULL,NULL,Forest,Water,Non_Wetland,Water
93,NULL,NULL,Forest,Water,Non_Wetland,Forest
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
97,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
98,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,Wetland,NULL,Wetland,Grassland
105,NULL,Cropland,Wetland,NULL,Wetland,Forest
106,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
107,NULL,Cropland,Wetland,Water,Wetland,Grassland
108,NULL,Cropland,Wetland,Water,Wetland,Water
109,NULL,Cropland,Bareland,Water,Non_Wetland,Water
110,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
113,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
114,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
115,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
116,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
117,NULL,Wetland,Wetland,NULL,Wetland,Grassland
118,NULL,Wetland,Wetland,NULL,Wetland,Forest
119,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
120,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
121,NULL,Wetland,Wetland,Water,Wetland,Water
122,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
123,NULL,Wetland,Bareland,Water,Non_Wetland,Water
124,NULL,Wetland,Water,Water,Water,Water
125,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
126,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
127,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
128,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
129,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
130,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
131,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
132,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
133,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
134,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
135,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
136,NULL,Bareland,Cropland,Water,Non_Wetland,Water
137,NULL,Bareland,Wetland,NULL,Wetland,Grassland
138,NULL,Bareland,Wetland,NULL,Wetland,Water
139,NULL,Bareland,Wetland,NULL,Wetland,Forest
140,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
141,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
142,NULL,Bareland,Wetland,Non_Water,Wetland,Water
143,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
144,NULL,Bareland,Wetland,Water,Wetland,Grassland
145,NULL,Bareland,Wetland,Water,Wetland,Bareland
146,NULL,Bareland,Wetland,Water,Wetland,Water
147,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
148,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
149,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
150,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
151,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
152,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
153,NULL,Bareland,Bareland,Water,Non_Wetland,Water
154,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
155,NULL,Bareland,Water,NULL,Water,Water
156,NULL,Bareland,Water,Non_Water,Water,Wetland
157,NULL,Bareland,Water,Non_Water,Water,Water
158,NULL,Bareland,Water,Water,Water,Wetland
159,NULL,Bareland,Water,Water,Water,Water
160,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
161,NULL,Bareland,Forest,NULL,Non_Wetland,Water
162,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
163,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
164,NULL,Bareland,Forest,Non_Water,Non_Wetland,Wetland
165,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
166,NULL,Bareland,Forest,Water,Non_Wetland,Water
167,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
168,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
169,NULL,Built-up,NULL,Water,Non_Wetland,Grassland
170,NULL,Built-up,NULL,Water,Non_Wetland,Forest
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
175,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
176,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
177,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
178,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
179,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
180,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
181,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
182,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
183,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
184,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
187,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
188,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
189,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
190,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water
191,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
192,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
193,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
194,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
195,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
196,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
197,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
198,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
199,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
200,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
201,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
202,NULL,Built-up,Cropland,Water,Non_Wetland,Water
203,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
204,NULL,Built-up,Wetland,NULL,Wetland,Grassland
205,NULL,Built-up,Wetland,NULL,Wetland,Bareland
206,NULL,Built-up,Wetland,NULL,Wetland,Built-up
207,NULL,Built-up,Wetland,NULL,Wetland,Water
208,NULL,Built-up,Wetland,NULL,Wetland,Forest
209,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
210,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
211,NULL,Built-up,Wetland,Non_Water,Wetland,Water
212,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
213,NULL,Built-up,Wetland,Water,Wetland,Grassland
214,NULL,Built-up,Wetland,Water,Wetland,Wetland
215,NULL,Built-up,Wetland,Water,Wetland,Bareland
216,NULL,Built-up,Wetland,Water,Wetland,Water
217,NULL,Built-up,Wetland,Water,Wetland,Forest
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
219,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
220,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
221,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
222,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
223,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
224,NULL,Built-up,Bareland,Water,Non_Wetland,Water
225,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
