Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
15,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
16,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
17,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
18,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
19,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
20,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
23,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
24,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
25,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
26,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
27,NULL,NULL,Water,Water,Water,NULL,NULL,Water
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
30,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
36,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
37,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
38,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
39,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
40,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
42,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
43,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
46,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
50,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
