Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
