Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZU_M_R
0,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
3,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
4,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
5,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6,NULL,NULL,Water,Water,Water,Water,Water,Water
7,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
9,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
10,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
11,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
12,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
13,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Forest
15,NULL,Water,Water,Water,Water,Water,Water,Water
16,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
17,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
