Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NYJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NYJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
